classifier_species,test_species,n_samples,accuracy,precision,recall,f1_score,auc,true_negative,false_positive,false_negative,true_positive
woodhouses_toad,bullfrog,805,0.7863354037267081,0.9628252788104089,0.6152019002375297,0.7507246376811594,0.9704201306413301,374,10,162,259
woodhouses_toad,coyote,566,0.8568904593639576,0.9483568075117371,0.7426470588235294,0.8329896907216495,0.966061424569828,283,11,70,202
woodhouses_toad,engine,617,0.766612641815235,0.25925925925925924,0.05343511450381679,0.08860759493670886,0.7497722489240726,466,20,124,7
woodhouses_toad,field_cricket,834,0.3105515587529976,0.6808510638297872,0.10509031198686371,0.182076813655761,0.5764677978471082,195,30,545,64
woodhouses_toad,human_vocal,605,0.6694214876033058,0.15083798882681565,0.36,0.2125984251968504,0.645433962264151,378,152,48,27
woodhouses_toad,pacific_chorus_frog,1174,0.813458262350937,0.98,0.7396226415094339,0.843010752688172,0.9623106154892882,367,12,207,588
woodhouses_toad,woodhouses_toad,1019,0.9833169774288518,0.98145285935085,0.9921875,0.9867909867909868,0.9981324208443272,367,12,5,635
bullfrog,bullfrog,805,0.9739130434782609,0.9545454545454546,0.997624703087886,0.975609756097561,0.9968514944576405,364,20,1,420
bullfrog,coyote,566,0.8939929328621908,0.8955223880597015,0.8823529411764706,0.888888888888889,0.9547443977591037,266,28,32,240
bullfrog,engine,617,0.7568881685575365,0.4095238095238095,0.3282442748091603,0.3644067796610169,0.7918512235730217,424,62,88,43
bullfrog,field_cricket,834,0.5875299760191847,0.847769028871391,0.5303776683087028,0.6525252525252526,0.6946360153256704,167,58,286,323
bullfrog,human_vocal,605,0.5735537190082645,0.18556701030927836,0.72,0.29508196721311475,0.7194716981132075,293,237,21,54
bullfrog,pacific_chorus_frog,1174,0.8347529812606473,0.9532428355957768,0.7949685534591195,0.8669410150891633,0.9475514843762964,348,31,163,632
bullfrog,woodhouses_toad,1019,0.9283611383709519,0.9507154213036566,0.934375,0.9424743892828998,0.9744228232189973,348,31,42,598
coyote,bullfrog,805,0.9167701863354037,0.9425,0.8954869358669834,0.9183922046285018,0.9703582739509105,361,23,44,377
coyote,coyote,566,0.9681978798586572,0.9440559440559441,0.9926470588235294,0.967741935483871,0.9841561624649859,278,16,2,270
coyote,engine,617,0.766612641815235,0.41975308641975306,0.2595419847328244,0.32075471698113206,0.8149875914931046,439,47,97,34
coyote,field_cricket,834,0.45083932853717024,0.7337461300309598,0.3891625615763547,0.5085836909871245,0.47217296113847834,139,86,372,237
coyote,human_vocal,605,0.5173553719008265,0.1873198847262248,0.8666666666666667,0.30805687203791476,0.6908930817610064,248,282,10,65
coyote,pacific_chorus_frog,1174,0.7989778534923339,0.9515347334410339,0.740880503144654,0.833097595473833,0.933758152038632,349,30,206,589
coyote,woodhouses_toad,1019,0.9322865554465162,0.9524564183835182,0.9390625,0.945712037765539,0.9751113126649076,349,30,39,601
pacific_chorus_frog,bullfrog,805,0.8944099378881988,0.9421052631578948,0.850356294536817,0.8938826466916355,0.962632373317498,362,22,63,358
pacific_chorus_frog,coyote,566,0.8621908127208481,0.8849206349206349,0.8198529411764706,0.8511450381679388,0.9486544617847139,265,29,49,223
pacific_chorus_frog,engine,617,0.7439222042139384,0.2545454545454545,0.10687022900763359,0.15053763440860213,0.7449973298149718,445,41,117,14
pacific_chorus_frog,field_cricket,834,0.5143884892086331,0.7982456140350878,0.4482758620689655,0.5741324921135647,0.5990184272942893,156,69,336,273
pacific_chorus_frog,human_vocal,605,0.5421487603305785,0.1610738255033557,0.64,0.257372654155496,0.6162767295597484,280,250,27,48
pacific_chorus_frog,pacific_chorus_frog,1174,0.9676320272572402,0.965559655596556,0.9874213836477987,0.9763681592039801,0.9957020295049865,351,28,10,785
pacific_chorus_frog,woodhouses_toad,1019,0.9587831207065751,0.9571865443425076,0.978125,0.9675425038639877,0.9877638522427441,351,28,14,626
field_cricket,bullfrog,805,0.7639751552795031,0.8690095846645367,0.6460807600950119,0.7411444141689373,0.8260095011876484,343,41,149,272
field_cricket,coyote,566,0.4452296819787986,0.2236842105263158,0.0625,0.09770114942528735,0.3355342136854742,235,59,255,17
field_cricket,engine,617,0.7358184764991896,0.2647058823529412,0.13740458015267176,0.18090452261306533,0.5439323971978764,436,50,113,18
field_cricket,field_cricket,834,0.9328537170263789,0.9981981981981982,0.909688013136289,0.9518900343642612,0.9964422550629447,224,1,55,554
field_cricket,human_vocal,605,0.8545454545454545,0.06666666666666667,0.013333333333333334,0.022222222222222223,0.37987421383647796,516,14,74,1
field_cricket,pacific_chorus_frog,1174,0.39267461669505965,0.7303370786516854,0.16352201257861634,0.2672147995889003,0.5638638588805363,331,48,665,130
field_cricket,woodhouses_toad,1019,0.4200196270853778,0.6689655172413793,0.1515625,0.2471337579617834,0.5509935686015831,331,48,543,97
human_vocal,bullfrog,805,0.47701863354037266,0.0,0.0,0.0,0.9567807304038005,384,0,421,0
human_vocal,coyote,566,0.519434628975265,0.0,0.0,0.0,0.9278086234493798,294,0,272,0
human_vocal,engine,617,0.7876823338735819,0.0,0.0,0.0,0.6180064712719505,486,0,131,0
human_vocal,field_cricket,834,0.2697841726618705,0.0,0.0,0.0,0.5242656449553001,225,0,609,0
human_vocal,human_vocal,605,0.8760330578512396,0.0,0.0,0.0,0.9836477987421384,530,0,75,0
human_vocal,pacific_chorus_frog,1174,0.3228279386712095,0.0,0.0,0.0,0.9047012163754335,379,0,795,0
human_vocal,woodhouses_toad,1019,0.3719332679097154,0.0,0.0,0.0,0.9257070415567282,379,0,640,0
engine,bullfrog,805,0.5714285714285714,0.8958333333333334,0.2042755344418052,0.33268858800773693,0.9356566706254948,374,10,335,86
engine,coyote,566,0.607773851590106,0.9464285714285714,0.1948529411764706,0.3231707317073171,0.9627726090436174,291,3,219,53
engine,engine,617,0.8119935170178282,0.6923076923076923,0.20610687022900764,0.31764705882352945,0.8976847925109163,474,12,104,27
engine,field_cricket,834,0.3261390887290168,0.7238095238095238,0.12479474548440066,0.21288515406162467,0.5571975916803503,196,29,533,76
engine,human_vocal,605,0.8446280991735537,0.24324324324324326,0.12,0.1607142857142857,0.562440251572327,502,28,66,9
engine,pacific_chorus_frog,1174,0.48637137989778534,0.9615384615384616,0.25157232704402516,0.3988035892323031,0.8560179884170526,371,8,595,200
engine,woodhouses_toad,1019,0.5368007850834151,0.9565217391304348,0.275,0.42718446601941745,0.9076888192612136,371,8,464,176
