Selection,View,Channel,Begin File_x,Begin Time (s),End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species Code,Common Name,Confidence,birdnetfile,site,bins,realID,reviewer_1,reviewer_2,ID,sample_id,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label
223,Spectrogram 1,1,20230528_000000.WAV,1347,1350,0,15000,t-11113588,American Bullfrog,0.1574,20230528_000000.BirdNET.selection.table.txt,BD-29263B,1,20230528_000000.WAV13471350BD-29263B,Ann,Diana,1,t-11113588_1,,,,,,0
5287,Spectrogram 1,1,20230525_000000.WAV,32133,32136,0,15000,t-11113588,American Bullfrog,0.132,20230525_000000.BirdNET.selection.table.txt,BD-29267B,1,20230525_000000.WAV3213332136BD-29267B,Diana,Camille,10,t-11113588_10,,,,,,0
1523,Spectrogram 1,1,20230527_200000.WAV,10305,10308,0,15000,t-11113588,American Bullfrog,0.2431,20230527_200000.BirdNET.selection.table.txt,BD-30175A,2,20230527_200000.WAV1030510308BD-30175A,Diana,Ethan,100,t-11113588_100,,,,,,0
365,Spectrogram 1,1,20230523_000000.WAV,8427,8430,0,15000,t-11113588,American Bullfrog,0.2281,20230523_000000.BirdNET.selection.table.txt,BD-30175A,2,20230523_000000.WAV84278430BD-30175A,Ethan,Amy,101,t-11113588_101,,,,,,0
2693,Spectrogram 1,1,20230525_200000.WAV,11952,11955,0,15000,t-11113588,American Bullfrog,0.2084,20230525_200000.BirdNET.selection.table.txt,BD-30175A,2,20230525_200000.WAV1195211955BD-30175A,Amy,Camille,102,t-11113588_102,,,,,,0
226,Spectrogram 1,1,20230522_200000.WAV,732,735,0,15000,t-11113588,American Bullfrog,0.2347,20230522_200000.BirdNET.selection.table.txt,BD-30175A,2,20230522_200000.WAV732735BD-30175A,Ann,Rohit,103,t-11113588_103,,,,,,0
2139,Spectrogram 1,1,20230522_200000.WAV,13161,13164,0,15000,t-11113588,American Bullfrog,0.2347,20230522_200000.BirdNET.selection.table.txt,BD-30175A,2,20230522_200000.WAV1316113164BD-30175A,Rohit,Camille,104,t-11113588_104,,,,,,0
343,Spectrogram 1,1,20230522_200000.WAV,1068,1071,0,15000,t-11113588,American Bullfrog,0.2707,20230522_200000.BirdNET.selection.table.txt,BD-30175A,2,20230522_200000.WAV10681071BD-30175A,Camille,Ann,105,t-11113588_105,,,,,,0
2884,Spectrogram 1,1,20230523_200000.WAV,12360,12363,0,15000,t-11113588,American Bullfrog,0.2149,20230523_200000.BirdNET.selection.table.txt,BD-30175A,2,20230523_200000.WAV1236012363BD-30175A,Diana,Rohit,106,t-11113588_106,,,,,,0
2145,Spectrogram 1,1,20230522_200000.WAV,13197,13200,0,15000,t-11113588,American Bullfrog,0.2596,20230522_200000.BirdNET.selection.table.txt,BD-30175A,2,20230522_200000.WAV1319713200BD-30175A,Ethan,Amy,107,t-11113588_107,,,,,,0
5162,Spectrogram 1,1,20230526_000000.WAV,27510,27513,0,15000,t-11113588,American Bullfrog,0.2433,20230526_000000.BirdNET.selection.table.txt,BD-30175A,2,20230526_000000.WAV2751027513BD-30175A,Amy,Camille,108,t-11113588_108,,,,,,0
865,Spectrogram 1,1,20230520_200000.WAV,7329,7332,0,15000,t-11113588,American Bullfrog,0.2061,20230520_200000.BirdNET.selection.table.txt,BD-30175A,2,20230520_200000.WAV73297332BD-30175A,Ann,Ethan,109,t-11113588_109,,,,,,0
2053,Spectrogram 1,1,20230526_000000.WAV,10959,10962,0,15000,t-11113588,American Bullfrog,0.3637,20230526_000000.BirdNET.selection.table.txt,BD-29267B,2,20230526_000000.WAV1095910962BD-29267B,Ethan,Amy,11,t-11113588_11,,,,,,0
1618,Spectrogram 1,1,20230524_000000.WAV,30627,30630,0,15000,t-11113588,American Bullfrog,0.2379,20230524_000000.BirdNET.selection.table.txt,BD-30175A,2,20230524_000000.WAV3062730630BD-30175A,Rohit,Ethan,110,t-11113588_110,,,,,,0
1633,Spectrogram 1,1,20230526_200000.WAV,7524,7527,0,15000,t-11113588,American Bullfrog,0.2529,20230526_200000.BirdNET.selection.table.txt,BD-30175A,2,20230526_200000.WAV75247527BD-30175A,Camille,Ann,111,t-11113588_111,,,,,,0
1308,Spectrogram 1,1,20230524_200000.WAV,5340,5343,0,15000,t-11113588,American Bullfrog,0.2366,20230524_200000.BirdNET.selection.table.txt,BD-30175A,2,20230524_200000.WAV53405343BD-30175A,Diana,Ethan,112,t-11113588_112,,,,,,0
845,Spectrogram 1,1,20230523_000000.WAV,15363,15366,0,15000,t-11113588,American Bullfrog,0.3608,20230523_000000.BirdNET.selection.table.txt,BD-30175A,2,20230523_000000.WAV1536315366BD-30175A,Ethan,Ann,113,t-11113588_113,,,,,,0
658,Spectrogram 1,1,20230525_000000.WAV,11808,11811,0,15000,t-11113588,American Bullfrog,0.2038,20230525_000000.BirdNET.selection.table.txt,BD-30175A,2,20230525_000000.WAV1180811811BD-30175A,Amy,Camille,114,t-11113588_114,,,,,,0
399,Spectrogram 1,1,20230526_200000.WAV,3321,3324,0,15000,t-11113588,American Bullfrog,0.3044,20230526_200000.BirdNET.selection.table.txt,BD-30175A,2,20230526_200000.WAV33213324BD-30175A,Ann,Ethan,115,t-11113588_115,,,,,,0
1575,Spectrogram 1,1,20230522_200000.WAV,5859,5862,0,15000,t-11113588,American Bullfrog,0.3009,20230522_200000.BirdNET.selection.table.txt,BD-30175A,2,20230522_200000.WAV58595862BD-30175A,Rohit,Diana,116,t-11113588_116,,,,,,0
1431,Spectrogram 1,1,20230523_200000.WAV,5052,5055,0,15000,t-11113588,American Bullfrog,0.2096,20230523_200000.BirdNET.selection.table.txt,BD-30175A,2,20230523_200000.WAV50525055BD-30175A,Camille,Amy,117,t-11113588_117,,,,,,0
1630,Spectrogram 1,1,20230523_200000.WAV,6219,6222,0,15000,t-11113588,American Bullfrog,0.3993,20230523_200000.BirdNET.selection.table.txt,BD-30175A,2,20230523_200000.WAV62196222BD-30175A,Diana,Ethan,118,t-11113588_118,,,,,,0
943,Spectrogram 1,1,20230526_000000.WAV,8628,8631,0,15000,t-11113588,American Bullfrog,0.3254,20230526_000000.BirdNET.selection.table.txt,BD-30175A,2,20230526_000000.WAV86288631BD-30175A,Ethan,Diana,119,t-11113588_119,,,,,,0
1118,Spectrogram 1,1,20230527_200000.WAV,2730,2733,0,15000,t-11113588,American Bullfrog,0.1322,20230527_200000.BirdNET.selection.table.txt,BD-29638A,1,20230527_200000.WAV27302733BD-29638A,Amy,Camille,12,t-11113588_12,,,,,,0
793,Spectrogram 1,1,20230520_200000.WAV,6591,6594,0,15000,t-11113588,American Bullfrog,0.3082,20230520_200000.BirdNET.selection.table.txt,BD-30175A,2,20230520_200000.WAV65916594BD-30175A,Amy,Diana,120,t-11113588_120,,,,,,0
10,Spectrogram 1,1,20230520_000000.WAV,36,39,0,15000,t-11113588,American Bullfrog,0.2251,20230520_000000.BirdNET.selection.table.txt,BD-30175A,2,20230520_000000.WAV3639BD-30175A,Ann,Rohit,121,t-11113588_121,,,,,,0
211,Spectrogram 1,1,20230520_200000.WAV,2442,2445,0,15000,t-11113588,American Bullfrog,0.372,20230520_200000.BirdNET.selection.table.txt,BD-30175A,2,20230520_200000.WAV24422445BD-30175A,Rohit,Camille,122,t-11113588_122,,,,,,0
914,Spectrogram 1,1,20230525_200000.WAV,3954,3957,0,15000,t-11113588,American Bullfrog,0.2369,20230525_200000.BirdNET.selection.table.txt,BD-30175A,2,20230525_200000.WAV39543957BD-30175A,Camille,Diana,123,t-11113588_123,,,,,,0
2298,Spectrogram 1,1,20230525_200000.WAV,9858,9861,0,15000,t-11113588,American Bullfrog,0.2315,20230525_200000.BirdNET.selection.table.txt,BD-30175A,2,20230525_200000.WAV98589861BD-30175A,Diana,Ethan,124,t-11113588_124,,,,,,0
1723,Spectrogram 1,1,20230522_200000.WAV,8655,8658,0,15000,t-11113588,American Bullfrog,0.3173,20230522_200000.BirdNET.selection.table.txt,BD-30175A,2,20230522_200000.WAV86558658BD-30175A,Ethan,Camille,125,t-11113588_125,,,,,,0
811,Spectrogram 1,1,20230523_000000.WAV,14742,14745,0,15000,t-11113588,American Bullfrog,0.2367,20230523_000000.BirdNET.selection.table.txt,BD-30175A,2,20230523_000000.WAV1474214745BD-30175A,Amy,Ann,126,t-11113588_126,,,,,,0
2065,Spectrogram 1,1,20230522_200000.WAV,12774,12777,0,15000,t-11113588,American Bullfrog,0.4003,20230522_200000.BirdNET.selection.table.txt,BD-30175A,3,20230522_200000.WAV1277412777BD-30175A,Ann,Amy,127,t-11113588_127,,,,,,0
1599,Spectrogram 1,1,20230527_200000.WAV,10671,10674,0,15000,t-11113588,American Bullfrog,0.4508,20230527_200000.BirdNET.selection.table.txt,BD-30175A,3,20230527_200000.WAV1067110674BD-30175A,Rohit,Amy,128,t-11113588_128,,,,,,0
3165,Spectrogram 1,1,20230523_200000.WAV,13617,13620,0,15000,t-11113588,American Bullfrog,0.4596,20230523_200000.BirdNET.selection.table.txt,BD-30175A,3,20230523_200000.WAV1361713620BD-30175A,Camille,Rohit,129,t-11113588_129,,,,,,0
648,Spectrogram 1,1,20230522_200000.WAV,3267,3270,0,15000,t-11113588,American Bullfrog,0.1698,20230522_200000.BirdNET.selection.table.txt,BD-29638A,1,20230522_200000.WAV32673270BD-29638A,Ann,Diana,13,t-11113588_13,,,,,,0
2178,Spectrogram 1,1,20230523_200000.WAV,10002,10005,0,15000,t-11113588,American Bullfrog,0.5465,20230523_200000.BirdNET.selection.table.txt,BD-30175A,3,20230523_200000.WAV1000210005BD-30175A,Diana,Camille,130,t-11113588_130,,,,,,0
414,Spectrogram 1,1,20230523_200000.WAV,1395,1398,0,15000,t-11113588,American Bullfrog,0.5457,20230523_200000.BirdNET.selection.table.txt,BD-30175A,3,20230523_200000.WAV13951398BD-30175A,Ethan,Amy,131,t-11113588_131,,,,,,0
3058,Spectrogram 1,1,20230523_200000.WAV,13131,13134,0,15000,t-11113588,American Bullfrog,0.5056,20230523_200000.BirdNET.selection.table.txt,BD-30175A,3,20230523_200000.WAV1313113134BD-30175A,Amy,Ann,132,t-11113588_132,,,,,,0
2678,Spectrogram 1,1,20230523_200000.WAV,11961,11964,0,15000,t-11113588,American Bullfrog,0.4861,20230523_200000.BirdNET.selection.table.txt,BD-30175A,3,20230523_200000.WAV1196111964BD-30175A,Ann,Ethan,133,t-11113588_133,,,,,,0
935,Spectrogram 1,1,20230526_000000.WAV,8616,8619,0,15000,t-11113588,American Bullfrog,0.6103,20230526_000000.BirdNET.selection.table.txt,BD-30175A,4,20230526_000000.WAV86168619BD-30175A,Rohit,Camille,134,t-11113588_134,,,,,,0
239,Spectrogram 1,1,20230525_000000.WAV,3960,3963,0,15000,t-11113588,American Bullfrog,0.6543,20230525_000000.BirdNET.selection.table.txt,BD-30175A,4,20230525_000000.WAV39603963BD-30175A,Camille,Ethan,135,t-11113588_135,,,,,,0
