Selection,View,Channel,Begin.File,Begin.Time..s.,End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species.Code,Common.Name,Confidence,birdnetfile,site,bins,date,time,reviewer_1,reviewer_2,ID,sample_id,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label,segment_id,clip_id
72,Spectrogram 1,1,20230524_000000.WAV,240,243,0,15000,t-11031961,Coyote,0.1207,20230524_000000.BirdNET.selection.table.txt,BD-32198A,1,5/24/23,00:00:00,Diana,Amy,100,t-11031961_100_9sec,,,,,,0,1,a
2078,Spectrogram 1,1,20230524_000000.WAV,6228,6231,0,15000,t-11031961,Coyote,0.2104,20230524_000000.BirdNET.selection.table.txt,BD-32198A,2,5/24/23,00:00:00,Ethan,Ann,101,t-11031961_101_9sec,,,,,,0,1,a
4981,Spectrogram 1,1,20230524_000000.WAV,16260,16263,0,15000,t-11031961,Coyote,0.1438,20230524_000000.BirdNET.selection.table.txt,BD-32198A,1,5/24/23,00:00:00,Amy,Ann,102,t-11031961_102_9sec,,,,,,0,1,a
1209,Spectrogram 1,1,20230524_200000.WAV,8208,8211,0,15000,t-11031961,Coyote,0.1524,20230524_200000.BirdNET.selection.table.txt,BD-32198A,1,5/24/23,20:00:00,Ann,Camille,103,t-11031961_103_9sec,,,,,,0,1,a
2087,Spectrogram 1,1,20230524_200000.WAV,11898,11901,0,15000,t-11031961,Coyote,0.2276,20230524_200000.BirdNET.selection.table.txt,BD-32198A,2,5/24/23,20:00:00,Rohit,Ann,104,t-11031961_104_9sec,,,,,,0,1,a
1507,Spectrogram 1,1,20230525_200000.WAV,12822,12825,0,15000,t-11031961,Coyote,0.1009,20230525_200000.BirdNET.selection.table.txt,BD-32198A,1,5/25/23,20:00:00,Camille,Rohit,105,t-11031961_105_9sec,,,,,,0,1,a
5329,Spectrogram 1,1,20230526_000000.WAV,24510,24513,0,15000,t-11031961,Coyote,0.1058,20230526_000000.BirdNET.selection.table.txt,BD-32198A,1,5/26/23,00:00:00,Diana,Amy,106,t-11031961_106_9sec,,,,,,0,1,a
428,Spectrogram 1,1,20230526_200000.WAV,2208,2211,0,15000,t-11031961,Coyote,0.4994,20230526_200000.BirdNET.selection.table.txt,BD-32198A,3,5/26/23,20:00:00,Ethan,Ann,107,t-11031961_107_9sec,,,,,,0,1,a
661,Spectrogram 1,1,20230527_200000.WAV,5013,5016,0,15000,t-11031961,Coyote,0.1989,20230527_200000.BirdNET.selection.table.txt,BD-32198A,1,5/27/23,20:00:00,Amy,Camille,108,t-11031961_108_9sec,,,,,,0,1,a
1666,Spectrogram 1,1,20230524_000000.WAV,24891,24894,0,15000,t-11031961,Coyote,0.2904,20230524_000000.BirdNET.selection.table.txt,BD-32437A,2,5/24/23,00:00:00,Ann,Camille,109,t-11031961_109_9sec,,,,,,0,1,a
