Selection,View,Channel,Begin File_x,Begin Time (s),End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species Code,Common Name,Confidence,birdnetfile,site,bins,realID,reviewer_1,reviewer_2,ID,sample_id,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label,segment_id
2994,Spectrogram 1,1,20230523_000000.WAV,17862,17865,0,15000,humvoc,Human vocal,0.1218,20230523_000000.BirdNET.selection.table.txt,BD-29050A,1,20230523_000000.WAV1786217865BD-29050A,Ann,Diana,1,humvoc_1.wav,,,,,,0,1
1312,Spectrogram 1,1,20230524_000000.WAV,2895,2898,0,15000,humvoc,Human vocal,0.1948,20230524_000000.BirdNET.selection.table.txt,BD-29050A,1,20230524_000000.WAV28952898BD-29050A,Diana,Camille,10,humvoc_10.wav,,,,,,0,1
1445,Spectrogram 1,1,20230526_200000.WAV,6855,6858,0,15000,humvoc,Human vocal,0.1298,20230526_200000.BirdNET.selection.table.txt,BD-30175A,1,20230526_200000.WAV68556858BD-30175A,Diana,Ethan,100,humvoc_100.wav,,,,,,0,1
1235,Spectrogram 1,1,20230525_000000.WAV,19068,19071,0,15000,humvoc,Human vocal,0.1276,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV1906819071BD-30175A,Ethan,Amy,101,humvoc_101.wav,,,,,,0,1
1324,Spectrogram 1,1,20230524_200000.WAV,5628,5631,0,15000,humvoc,Human vocal,0.1132,20230524_200000.BirdNET.selection.table.txt,BD-30175A,1,20230524_200000.WAV56285631BD-30175A,Amy,Camille,102,humvoc_102.wav,,,,,,0,1
1300,Spectrogram 1,1,20230525_000000.WAV,20514,20517,0,15000,humvoc,Human vocal,0.1227,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV2051420517BD-30175A,Ann,Rohit,103,humvoc_103.wav,,,,,,0,1
1245,Spectrogram 1,1,20230526_000000.WAV,10914,10917,0,15000,humvoc,Human vocal,0.1679,20230526_000000.BirdNET.selection.table.txt,BD-30175A,1,20230526_000000.WAV1091410917BD-30175A,Rohit,Camille,104,humvoc_104.wav,,,,,,0,1
525,Spectrogram 1,1,20230524_000000.WAV,18996,18999,0,15000,humvoc,Human vocal,0.1519,20230524_000000.BirdNET.selection.table.txt,BD-30175A,1,20230524_000000.WAV1899618999BD-30175A,Camille,Ann,105,humvoc_105.wav,,,,,,0,1
3497,Spectrogram 1,1,20230527_000000.WAV,27789,27792,0,15000,humvoc,Human vocal,0.1135,20230527_000000.BirdNET.selection.table.txt,BD-30175A,1,20230527_000000.WAV2778927792BD-30175A,Diana,Rohit,106,humvoc_106.wav,,,,,,0,1
1803,Spectrogram 1,1,20230527_000000.WAV,8313,8316,0,15000,humvoc,Human vocal,0.1042,20230527_000000.BirdNET.selection.table.txt,BD-30175A,1,20230527_000000.WAV83138316BD-30175A,Ethan,Amy,107,humvoc_107.wav,,,,,,0,1
1584,Spectrogram 1,1,20230524_200000.WAV,10362,10365,0,15000,humvoc,Human vocal,0.1397,20230524_200000.BirdNET.selection.table.txt,BD-30175A,1,20230524_200000.WAV1036210365BD-30175A,Amy,Camille,108,humvoc_108.wav,,,,,,0,1
1592,Spectrogram 1,1,20230524_200000.WAV,10461,10464,0,15000,humvoc,Human vocal,0.1961,20230524_200000.BirdNET.selection.table.txt,BD-30175A,1,20230524_200000.WAV1046110464BD-30175A,Ann,Ethan,109,humvoc_109.wav,,,,,,0,1
801,Spectrogram 1,1,20230523_000000.WAV,8340,8343,0,15000,humvoc,Human vocal,0.1961,20230523_000000.BirdNET.selection.table.txt,BD-29050A,1,20230523_000000.WAV83408343BD-29050A,Ethan,Amy,11,humvoc_11.wav,,,,,,0,1
2571,Spectrogram 1,1,20230525_200000.WAV,11367,11370,0,15000,humvoc,Human vocal,0.1891,20230525_200000.BirdNET.selection.table.txt,BD-30175A,1,20230525_200000.WAV1136711370BD-30175A,Rohit,Ethan,110,humvoc_110.wav,,,,,,0,1
155,Spectrogram 1,1,20230522_000000.WAV,7350,7353,0,15000,humvoc,Human vocal,0.1484,20230522_000000.BirdNET.selection.table.txt,BD-30175A,1,20230522_000000.WAV73507353BD-30175A,Camille,Ann,111,humvoc_111.wav,,,,,,0,1
2098,Spectrogram 1,1,20230520_000000.WAV,8634,8637,0,15000,humvoc,Human vocal,0.1044,20230520_000000.BirdNET.selection.table.txt,BD-30175A,1,20230520_000000.WAV86348637BD-30175A,Diana,Ethan,112,humvoc_112.wav,,,,,,0,1
15,Spectrogram 1,1,20230521_200000.WAV,690,693,0,15000,humvoc,Human vocal,0.1051,20230521_200000.BirdNET.selection.table.txt,BD-30175A,1,20230521_200000.WAV690693BD-30175A,Ethan,Ann,113,humvoc_113.wav,,,,,,0,1
1492,Spectrogram 1,1,20230525_000000.WAV,23145,23148,0,15000,humvoc,Human vocal,0.1957,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV2314523148BD-30175A,Amy,Camille,114,humvoc_114.wav,,,,,,0,1
1724,Spectrogram 1,1,20230527_200000.WAV,11322,11325,0,15000,humvoc,Human vocal,0.1566,20230527_200000.BirdNET.selection.table.txt,BD-30175A,1,20230527_200000.WAV1132211325BD-30175A,Ann,Ethan,115,humvoc_115.wav,,,,,,0,1
2997,Spectrogram 1,1,20230527_000000.WAV,24141,24144,0,15000,humvoc,Human vocal,0.1253,20230527_000000.BirdNET.selection.table.txt,BD-30175A,1,20230527_000000.WAV2414124144BD-30175A,Rohit,Diana,116,humvoc_116.wav,,,,,,0,1
2137,Spectrogram 1,1,20230525_000000.WAV,27702,27705,0,15000,humvoc,Human vocal,0.1882,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV2770227705BD-30175A,Camille,Amy,117,humvoc_117.wav,,,,,,0,1
575,Spectrogram 1,1,20230524_000000.WAV,20136,20139,0,15000,humvoc,Human vocal,0.1268,20230524_000000.BirdNET.selection.table.txt,BD-30175A,1,20230524_000000.WAV2013620139BD-30175A,Diana,Ethan,118,humvoc_118.wav,,,,,,0,1
1271,Spectrogram 1,1,20230524_200000.WAV,5220,5223,0,15000,humvoc,Human vocal,0.1018,20230524_200000.BirdNET.selection.table.txt,BD-30175A,1,20230524_200000.WAV52205223BD-30175A,Ethan,Diana,119,humvoc_119.wav,,,,,,0,1
783,Spectrogram 1,1,20230524_000000.WAV,1989,1992,0,15000,humvoc,Human vocal,0.1797,20230524_000000.BirdNET.selection.table.txt,BD-29050A,1,20230524_000000.WAV19891992BD-29050A,Amy,Camille,12,humvoc_12.wav,,,,,,0,1
1449,Spectrogram 1,1,20230525_000000.WAV,22557,22560,0,15000,humvoc,Human vocal,0.1415,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV2255722560BD-30175A,Amy,Diana,120,humvoc_120.wav,,,,,,0,1
502,Spectrogram 1,1,20230525_000000.WAV,5511,5514,0,15000,humvoc,Human vocal,0.1181,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV55115514BD-30175A,Ann,Rohit,121,humvoc_121.wav,,,,,,0,1
919,Spectrogram 1,1,20230525_000000.WAV,13914,13917,0,15000,humvoc,Human vocal,0.1237,20230525_000000.BirdNET.selection.table.txt,BD-30175A,1,20230525_000000.WAV1391413917BD-30175A,Rohit,Camille,122,humvoc_122.wav,,,,,,0,1
573,Spectrogram 1,1,20230524_000000.WAV,20055,20058,0,15000,humvoc,Human vocal,0.342,20230524_000000.BirdNET.selection.table.txt,BD-30175A,2,20230524_000000.WAV2005520058BD-30175A,Camille,Diana,123,humvoc_123.wav,,,,,,0,1
1335,Spectrogram 1,1,20230524_200000.WAV,5778,5781,0,15000,humvoc,Human vocal,0.2384,20230524_200000.BirdNET.selection.table.txt,BD-30175A,2,20230524_200000.WAV57785781BD-30175A,Diana,Ethan,124,humvoc_124.wav,,,,,,0,1
2529,Spectrogram 1,1,20230527_000000.WAV,21681,21684,0,15000,humvoc,Human vocal,0.3636,20230527_000000.BirdNET.selection.table.txt,BD-30175A,2,20230527_000000.WAV2168121684BD-30175A,Ethan,Camille,125,humvoc_125.wav,,,,,,0,1
1817,Spectrogram 1,1,20230527_000000.WAV,8484,8487,0,15000,humvoc,Human vocal,0.26,20230527_000000.BirdNET.selection.table.txt,BD-30175A,2,20230527_000000.WAV84848487BD-30175A,Amy,Ann,126,humvoc_126.wav,,,,,,0,1
160,Spectrogram 1,1,20230524_000000.WAV,4230,4233,0,15000,humvoc,Human vocal,0.2209,20230524_000000.BirdNET.selection.table.txt,BD-30175A,2,20230524_000000.WAV42304233BD-30175A,Ann,Amy,127,humvoc_127.wav,,,,,,0,1
1699,Spectrogram 1,1,20230527_200000.WAV,11103,11106,0,15000,humvoc,Human vocal,0.2215,20230527_200000.BirdNET.selection.table.txt,BD-30175A,2,20230527_200000.WAV1110311106BD-30175A,Rohit,Amy,128,humvoc_128.wav,,,,,,0,1
1482,Spectrogram 1,1,20230525_000000.WAV,23073,23076,0,15000,humvoc,Human vocal,0.3766,20230525_000000.BirdNET.selection.table.txt,BD-30175A,2,20230525_000000.WAV2307323076BD-30175A,Camille,Rohit,129,humvoc_129.wav,,,,,,0,1
2734,Spectrogram 1,1,20230524_000000.WAV,10224,10227,0,15000,humvoc,Human vocal,0.1717,20230524_000000.BirdNET.selection.table.txt,BD-29050A,1,20230524_000000.WAV1022410227BD-29050A,Ann,Diana,13,humvoc_13.wav,,,,,,0,1
1501,Spectrogram 1,1,20230525_000000.WAV,23298,23301,0,15000,humvoc,Human vocal,0.2167,20230525_000000.BirdNET.selection.table.txt,BD-30175A,2,20230525_000000.WAV2329823301BD-30175A,Diana,Camille,130,humvoc_130.wav,,,,,,0,1
2458,Spectrogram 1,1,20230527_000000.WAV,21048,21051,0,15000,humvoc,Human vocal,0.2607,20230527_000000.BirdNET.selection.table.txt,BD-30175A,2,20230527_000000.WAV2104821051BD-30175A,Ethan,Amy,131,humvoc_131.wav,,,,,,0,1
2471,Spectrogram 1,1,20230527_000000.WAV,21129,21132,0,15000,humvoc,Human vocal,0.3041,20230527_000000.BirdNET.selection.table.txt,BD-30175A,2,20230527_000000.WAV2112921132BD-30175A,Amy,Ann,132,humvoc_132.wav,,,,,,0,1
1763,Spectrogram 1,1,20230527_200000.WAV,11628,11631,0,15000,humvoc,Human vocal,0.4994,20230527_200000.BirdNET.selection.table.txt,BD-30175A,3,20230527_200000.WAV1162811631BD-30175A,Ann,Ethan,133,humvoc_133.wav,,,,,,0,1
4572,Spectrogram 1,1,20230526_000000.WAV,28014,28017,0,15000,humvoc,Human vocal,0.1741,20230526_000000.BirdNET.selection.table.txt,BD-31100A,1,20230526_000000.WAV2801428017BD-31100A,Rohit,Camille,134,humvoc_134.wav,,,,,,0,1
456,Spectrogram 1,1,20230521_200000.WAV,1791,1794,0,15000,humvoc,Human vocal,0.1019,20230521_200000.BirdNET.selection.table.txt,BD-31100A,1,20230521_200000.WAV17911794BD-31100A,Camille,Ethan,135,humvoc_135.wav,,,,,,0,1
5689,Spectrogram 1,1,20230522_000000.WAV,26805,26808,0,15000,humvoc,Human vocal,0.1976,20230522_000000.BirdNET.selection.table.txt,BD-31100A,1,20230522_000000.WAV2680526808BD-31100A,Diana,Amy,136,humvoc_136.wav,,,,,,0,1
5258,Spectrogram 1,1,20230524_000000.WAV,26412,26415,0,15000,humvoc,Human vocal,0.2051,20230524_000000.BirdNET.selection.table.txt,BD-31100A,2,20230524_000000.WAV2641226415BD-31100A,Ethan,Amy,137,humvoc_137.wav,,,,,,0,1
1341,Spectrogram 1,1,20230525_000000.WAV,8847,8850,0,15000,humvoc,Human vocal,0.1046,20230525_000000.BirdNET.selection.table.txt,BD-31100B,1,20230525_000000.WAV88478850BD-31100B,Amy,Ethan,138,humvoc_138.wav,,,,,,0,1
