Selection,View,Channel,Begin File_x,Begin Time (s),End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species Code,Common Name,Confidence,birdnetfile,site,bins,realID,reviewer_1,reviewer_2,ID,filename,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label
2309,Spectrogram 1,1,20230523_000000.WAV,20466,20469,0,15000,t-11127057,Pacific Chorus Frog,0.6566,20230523_000000.BirdNET.selection.table.txt,BD-29638A,4,20230523_000000.WAV2046620469BD-29638A,Camille,Amy,602,t-11127057_602.wav,,,,,,0
6447,Spectrogram 1,1,20230524_000000.WAV,27198,27201,0,15000,t-11127057,Pacific Chorus Frog,0.5633,20230524_000000.BirdNET.selection.table.txt,BD-29651B,3,20230524_000000.WAV2719827201BD-29651B,Ethan,Ann,603,t-11127057_603.wav,,,,,,0
4074,Spectrogram 1,1,20230522_000000.WAV,19509,19512,0,15000,t-11127057,Pacific Chorus Frog,0.5279,20230522_000000.BirdNET.selection.table.txt,BD-31100A,3,20230522_000000.WAV1950919512BD-31100A,Ethan,Amy,611,t-11127057_611.wav,,,,,,0
8742,Spectrogram 1,1,20230523_000001.WAV,25005,25008,0,15000,t-11127057,Pacific Chorus Frog,0.5686,20230523_000001.BirdNET.selection.table.txt,BD-31393A,3,20230523_000001.WAV2500525008BD-31393A,Ethan,Ann,807,t-11127057_807.wav,,,,,,0
3906,Spectrogram 1,1,20230522_200000.WAV,9342,9345,0,15000,t-11127057,Pacific Chorus Frog,0.1433,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV93429345BD-29267A,Ann,Amy,1,t-11127057_1.wav,2910.9,2910.9,1.5168,0,PCF,1
624,Spectrogram 1,1,20230522_000000.WAV,4422,4425,0,15000,t-11127057,Pacific Chorus Frog,0.1222,20230522_000000.BirdNET.selection.table.txt,BD-29267A,1,20230522_000000.WAV44224425BD-29267A,Camille,Amy,2,t-11127057_2.wav,2957.9,2987.8,0.9518,0.1045,PCF,1
838,Spectrogram 1,1,20230520_200000.WAV,3642,3645,0,15000,t-11127057,Pacific Chorus Frog,0.1244,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV36423645BD-29267A,Ethan,Amy,3,t-11127057_3.wav,7158.5,7158.5,0.9125,0,PCF,1
1941,Spectrogram 1,1,20230521_200000.WAV,6198,6201,0,15000,t-11127057,Pacific Chorus Frog,0.1079,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV61986201BD-29267A,Amy,Camille,4,t-11127057_4.wav,6697.7,6697.7,1.4463,0.1067,PCF,1
1318,Spectrogram 1,1,20230521_200000.WAV,4914,4917,0,15000,t-11127057,Pacific Chorus Frog,0.1128,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV49144917BD-29267A,Ann,Amy,5,t-11127057_5.wav,2732.7,2732.7,1.5069,0,PCF,1
2759,Spectrogram 1,1,20230520_200000.WAV,11568,11571,0,15000,t-11127057,Pacific Chorus Frog,0.1719,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV1156811571BD-29267A,Camille,Ethan,6,t-11127057_6.wav,7782.9,7782.9,1.2924,0.1067,PCF,1
2426,Spectrogram 1,1,20230520_200000.WAV,10581,10584,0,15000,t-11127057,Pacific Chorus Frog,0.1174,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV1058110584BD-29267A,Ethan,Camille,7,t-11127057_7.wav,6303,6303,0.2434,0,PCF,1
1380,Spectrogram 1,1,20230520_200000.WAV,6360,6363,0,15000,t-11127057,Pacific Chorus Frog,0.1792,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV63606363BD-29267A,Amy,Camille,8,t-11127057_8.wav,7162.8,7162.8,1.2957,0.1067,PCF,1
2855,Spectrogram 1,1,20230520_200000.WAV,11904,11907,0,15000,t-11127057,Pacific Chorus Frog,0.1074,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV1190411907BD-29267A,Ann,Amy,9,t-11127057_9.wav,2693.1,2693.1,0.7424,0,PCF,1
3032,Spectrogram 1,1,20230521_200000.WAV,9132,9135,0,15000,t-11127057,Pacific Chorus Frog,0.1261,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV91329135BD-29267A,Camille,Ann,10,t-11127057_10.wav,5829.5,5829.5,1.3616,0,PCF,1
2523,Spectrogram 1,1,20230520_200000.WAV,10812,10815,0,15000,t-11127057,Pacific Chorus Frog,0.1281,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV1081210815BD-29267A,Ethan,Camille,11,t-11127057_11.wav,6847.3,6847.3,1.1677,0,PCF,1
1627,Spectrogram 1,1,20230521_200000.WAV,5508,5511,0,15000,t-11127057,Pacific Chorus Frog,0.1386,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV55085511BD-29267A,Amy,Camille,12,t-11127057_12.wav,7038.8,7038.8,1.354,0.1067,PCF,1
3075,Spectrogram 1,1,20230520_200000.WAV,12915,12918,0,15000,t-11127057,Pacific Chorus Frog,0.1682,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV1291512918BD-29267A,Ann,Camille,13,t-11127057_13.wav,8217.1,8217.1,1.3242,0.1067,PCF,1
2044,Spectrogram 1,1,20230522_200000.WAV,5490,5493,0,15000,t-11127057,Pacific Chorus Frog,0.1018,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV54905493BD-29267A,Camille,Ethan,14,t-11127057_14.wav,6883.7,6883.7,1.4742,0.1067,PCF,1
4114,Spectrogram 1,1,20230522_200000.WAV,9906,9909,0,15000,t-11127057,Pacific Chorus Frog,0.1798,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV99069909BD-29267A,Ethan,Amy,15,t-11127057_15.wav,2928,2928,1.0871,0.1045,PCF,1
2940,Spectrogram 1,1,20230521_200000.WAV,8829,8832,0,15000,t-11127057,Pacific Chorus Frog,0.1721,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV88298832BD-29267A,Amy,Ann,16,t-11127057_16.wav,2633.7,2633.7,0.4982,0,PCF,1
1219,Spectrogram 1,1,20230522_200000.WAV,4107,4110,0,15000,t-11127057,Pacific Chorus Frog,0.1623,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV41074110BD-29267A,Ann,Amy,17,t-11127057_17.wav,2868.3,2868.3,1.1503,0.1045,PCF,1
357,Spectrogram 1,1,20230520_200000.WAV,1557,1560,0,15000,t-11127057,Pacific Chorus Frog,0.1835,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV15571560BD-29267A,Camille,Amy,18,t-11127057_18.wav,7472.9,7472.9,1.1971,0.1067,PCF,1
657,Spectrogram 1,1,20230520_200000.WAV,2943,2946,0,15000,t-11127057,Pacific Chorus Frog,0.1895,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV29432946BD-29267A,Ethan,Ann,19,t-11127057_19.wav,6743.5,6743.5,1.2011,0,PCF,1
1263,Spectrogram 1,1,20230522_200000.WAV,4179,4182,0,15000,t-11127057,Pacific Chorus Frog,0.1199,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV41794182BD-29267A,Amy,Ann,20,t-11127057_20.wav,2851.5,2851.5,0.7214,0,PCF,1
1466,Spectrogram 1,1,20230521_200000.WAV,5253,5256,0,15000,t-11127057,Pacific Chorus Frog,0.1982,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV52535256BD-29267A,Ann,Camille,21,t-11127057_21.wav,2811.9,2811.9,1.3706,0,PCF,1
621,Spectrogram 1,1,20230522_000000.WAV,4410,4413,0,15000,t-11127057,Pacific Chorus Frog,0.1422,20230522_000000.BirdNET.selection.table.txt,BD-29267A,1,20230522_000000.WAV44104413BD-29267A,Camille,Ann,22,t-11127057_22.wav,2891.1,2891.1,0.9546,0,PCF,1
2942,Spectrogram 1,1,20230522_200000.WAV,7080,7083,0,15000,t-11127057,Pacific Chorus Frog,0.1101,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV70807083BD-29267A,Ethan,Amy,23,t-11127057_23.wav,6190.2,6190.2,1.5271,0,PCF,1
539,Spectrogram 1,1,20230521_000000.WAV,3900,3903,0,15000,t-11127057,Pacific Chorus Frog,0.1212,20230521_000000.BirdNET.selection.table.txt,BD-29267A,1,20230521_000000.WAV39003903BD-29267A,Amy,Camille,24,t-11127057_24.wav,7782.9,7782.9,1.4332,0.1067,PCF,1
3137,Spectrogram 1,1,20230521_200000.WAV,9444,9447,0,15000,t-11127057,Pacific Chorus Frog,0.1786,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV94449447BD-29267A,Ann,Amy,25,t-11127057_25.wav,2732.7,2732.7,0.8379,0,PCF,1
2934,Spectrogram 1,1,20230522_200000.WAV,7065,7068,0,15000,t-11127057,Pacific Chorus Frog,0.1106,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV70657068BD-29267A,Camille,Ethan,26,t-11127057_26.wav,6697.7,6697.7,1.5143,0.1813,PCF,1
4431,Spectrogram 1,1,20230522_200000.WAV,10644,10647,0,15000,t-11127057,Pacific Chorus Frog,0.1299,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV1064410647BD-29267A,Ethan,Ann,27,t-11127057_27.wav,2082.4,2082.4,1.9485,0.1045,PCF,1
3045,Spectrogram 1,1,20230520_200000.WAV,12738,12741,0,15000,t-11127057,Pacific Chorus Frog,0.1903,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV1273812741BD-29267A,Amy,Camille,28,t-11127057_28.wav,2637.7,2637.7,1.6117,0.1161,PCF,1
5154,Spectrogram 1,1,20230522_200000.WAV,13305,13308,0,15000,t-11127057,Pacific Chorus Frog,0.1076,20230522_200000.BirdNET.selection.table.txt,BD-29267A,1,20230522_200000.WAV1330513308BD-29267A,Ann,Amy,29,t-11127057_29.wav,2539.6,2539.6,1.1021,0.1045,PCF,1
2459,Spectrogram 1,1,20230521_200000.WAV,7281,7284,0,15000,t-11127057,Pacific Chorus Frog,0.1857,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV72817284BD-29267A,Camille,Ethan,30,t-11127057_30.wav,6976.7,6976.7,1.8595,0.1813,PCF,1
574,Spectrogram 1,1,20230521_200000.WAV,2919,2922,0,15000,t-11127057,Pacific Chorus Frog,0.1867,20230521_200000.BirdNET.selection.table.txt,BD-29267A,1,20230521_200000.WAV29192922BD-29267A,Ethan,Ann,31,t-11127057_31.wav,7469.7,7469.7,1.3061,0,PCF,1
678,Spectrogram 1,1,20230520_200000.WAV,3015,3018,0,15000,t-11127057,Pacific Chorus Frog,0.1092,20230520_200000.BirdNET.selection.table.txt,BD-29267A,1,20230520_200000.WAV30153018BD-29267A,Amy,Ethan,32,t-11127057_32.wav,2542.4,2542.4,1.2534,0,PCF,1
1066,Spectrogram 1,1,20230521_200000.WAV,4146,4149,0,15000,t-11127057,Pacific Chorus Frog,0.3617,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV41464149BD-29267A,Ann,Amy,33,t-11127057_33.wav,2613.9,2613.9,1.2822,0,PCF,1
3201,Spectrogram 1,1,20230521_200000.WAV,9609,9612,0,15000,t-11127057,Pacific Chorus Frog,0.3076,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV96099612BD-29267A,Camille,Ann,34,t-11127057_34.wav,2653.5,2653.5,0.8085,0,PCF,1
2723,Spectrogram 1,1,20230521_200000.WAV,8043,8046,0,15000,t-11127057,Pacific Chorus Frog,0.2858,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV80438046BD-29267A,Ethan,Amy,35,t-11127057_35.wav,2778.6,2778.6,1.3628,0.1045,PCF,1
333,Spectrogram 1,1,20230522_000000.WAV,2688,2691,0,15000,t-11127057,Pacific Chorus Frog,0.3594,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV26882691BD-29267A,Amy,Camille,36,t-11127057_36.wav,2574.2,2574.2,1.1169,0.1045,PCF,1
646,Spectrogram 1,1,20230521_000000.WAV,4878,4881,0,15000,t-11127057,Pacific Chorus Frog,0.2773,20230521_000000.BirdNET.selection.table.txt,BD-29267A,2,20230521_000000.WAV48784881BD-29267A,Ann,Camille,37,t-11127057_37.wav,6914.7,6914.7,1.2617,0.1067,PCF,1
701,Spectrogram 1,1,20230522_200000.WAV,2934,2937,0,15000,t-11127057,Pacific Chorus Frog,0.2005,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV29342937BD-29267A,Camille,Amy,38,t-11127057_38.wav,2748.8,2748.8,1.3007,0.1045,PCF,1
925,Spectrogram 1,1,20230520_200000.WAV,4194,4197,0,15000,t-11127057,Pacific Chorus Frog,0.3464,20230520_200000.BirdNET.selection.table.txt,BD-29267A,2,20230520_200000.WAV41944197BD-29267A,Ethan,Ann,39,t-11127057_39.wav,2475.2,2475.2,0.4758,0,PCF,1
480,Spectrogram 1,1,20230520_200000.WAV,2181,2184,0,15000,t-11127057,Pacific Chorus Frog,0.3339,20230520_200000.BirdNET.selection.table.txt,BD-29267A,2,20230520_200000.WAV21812184BD-29267A,Amy,Ann,40,t-11127057_40.wav,2534.7,2534.7,1.1123,0,PCF,1
3541,Spectrogram 1,1,20230522_200000.WAV,8349,8352,0,15000,t-11127057,Pacific Chorus Frog,0.2666,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV83498352BD-29267A,Ann,Ethan,41,t-11127057_41.wav,2910.9,2910.9,0.6637,0,PCF,1
3270,Spectrogram 1,1,20230521_200000.WAV,9744,9747,0,15000,t-11127057,Pacific Chorus Frog,0.2855,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV97449747BD-29267A,Camille,Amy,42,t-11127057_42.wav,7751.9,7751.9,1.3263,0,PCF,1
611,Spectrogram 1,1,20230521_200000.WAV,3093,3096,0,15000,t-11127057,Pacific Chorus Frog,0.2751,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV30933096BD-29267A,Ethan,Amy,43,t-11127057_43.wav,7158.5,7158.5,1.3829,0,PCF,1
2830,Spectrogram 1,1,20230520_200000.WAV,11772,11775,0,15000,t-11127057,Pacific Chorus Frog,0.2352,20230520_200000.BirdNET.selection.table.txt,BD-29267A,2,20230520_200000.WAV1177211775BD-29267A,Amy,Ann,44,t-11127057_44.wav,2712.9,2712.9,1.1639,0,PCF,1
2040,Spectrogram 1,1,20230520_200000.WAV,8946,8949,0,15000,t-11127057,Pacific Chorus Frog,0.2998,20230520_200000.BirdNET.selection.table.txt,BD-29267A,2,20230520_200000.WAV89468949BD-29267A,Ann,Amy,45,t-11127057_45.wav,2712.9,2712.9,0.7139,0,PCF,1
638,Spectrogram 1,1,20230521_200000.WAV,3207,3210,0,15000,t-11127057,Pacific Chorus Frog,0.3313,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV32073210BD-29267A,Camille,Ann,46,t-11127057_46.wav,2574.3,2574.3,0.4649,0,PCF,1
