Selection,View,Channel,Begin File_x,Begin Time (s),End Time (s),Low Freq (Hz)_x,High Freq (Hz)_x,Species Code,Common Name,Confidence,birdnetfile,site,bins,realID,reviewer_1,reviewer_2,ID,sample_id,Low Freq (Hz)_y,High Freq (Hz)_y,File Offset (s),Delta Time (s),Annotation,label,segment_id
1078,Spectrogram 1,1,20230522_200000.WAV,3846,3849,0,15000,t-11105570,Woodhouse's Toad,0.2357,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV38463849BD-29267A,Diana,Ethan,100,t-11105570_100_9sec.wav,991.453,1982.906,0.7396,2.9488,WT,1,2
1078,Spectrogram 1,1,20230522_200000.WAV,3846,3849,0,15000,t-11105570,Woodhouse's Toad,0.2357,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV38463849BD-29267A,Diana,Ethan,100,t-11105570_100_9sec.wav,991.453,1846.154,6.3105,1.7673,WT,1,3
2951,Spectrogram 1,1,20230520_200000.WAV,12345,12348,0,15000,t-11105570,Woodhouse's Toad,0.298,20230520_200000.BirdNET.selection.table.txt,BD-29267A,2,20230520_200000.WAV1234512348BD-29267A,Ethan,Amy,101,t-11105570_101_9sec.wav,1247.5,1856.4,5.3658,2.4667,WT,1,1
1680,Spectrogram 1,1,20230522_000000.WAV,8223,8226,0,15000,t-11105570,Woodhouse's Toad,0.2977,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV82238226BD-29267A,Amy,Camille,102,t-11105570_102_9sec.wav,1054.3,1798.4,3.7549,1.8774,WT,1,1
1174,Spectrogram 1,1,20230526_200000.WAV,4515,4518,0,15000,t-11105570,Woodhouse's Toad,0.2956,20230526_200000.BirdNET.selection.table.txt,BD-29267A,2,20230526_200000.WAV45154518BD-29267A,Camille,Ann,105,t-11105570_105_9sec.wav,990.1,1762.4,5.2004,2.148,WT,1,1
1906,Spectrogram 1,1,20230522_000000.WAV,8697,8700,0,15000,t-11105570,Woodhouse's Toad,0.3598,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV86978700BD-29267A,Diana,Rohit,106,t-11105570_106_9sec.wav,1094.017,1914.53,3.8813,1.7097,WT,1,2
5121,Spectrogram 1,1,20230522_200000.WAV,13224,13227,0,15000,t-11105570,Woodhouse's Toad,0.3452,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV1322413227BD-29267A,Amy,Camille,108,t-11105570_108_9sec.wav,1018.2,1882.2,0.0078,1.8016,WT,1,1
5121,Spectrogram 1,1,20230522_200000.WAV,13224,13227,0,15000,t-11105570,Woodhouse's Toad,0.3452,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV1322413227BD-29267A,Amy,Camille,108,t-11105570_108_9sec.wav,1033.7,1897.6,3.0313,2.2089,WT,1,2
3169,Spectrogram 1,1,20230521_200000.WAV,9519,9522,0,15000,t-11105570,Woodhouse's Toad,0.2849,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV95199522BD-29267A,Ann,Ethan,109,t-11105570_109_9sec.wav,732.7,1960.4,4.0716,2.5531,WT,1,1
2567,Spectrogram 1,1,20230521_200000.WAV,7626,7629,0,15000,t-11105570,Woodhouse's Toad,0.368,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV76267629BD-29267A,Camille,Ann,111,t-11105570_111_9sec.wav,930.7,1841.6,3.5995,2.0538,WT,1,1
1062,Spectrogram 1,1,20230521_200000.WAV,4134,4137,0,15000,t-11105570,Woodhouse's Toad,0.2482,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV41344137BD-29267A,Diana,Ethan,112,t-11105570_112_9sec.wav,923.077,1846.154,2.1127,1.969,WT,1,1
312,Spectrogram 1,1,20230521_000000.WAV,2070,2073,0,15000,t-11105570,Woodhouse's Toad,0.248,20230521_000000.BirdNET.selection.table.txt,BD-29267A,2,20230521_000000.WAV20702073BD-29267A,Ethan,Ann,113,t-11105570_113_9sec.wav,851.5,2277.2,5.0998,2.327,WT,1,1
1998,Spectrogram 1,1,20230522_000000.WAV,8880,8883,0,15000,t-11105570,Woodhouse's Toad,0.2664,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV88808883BD-29267A,Ann,Ethan,115,t-11105570_115_9sec.wav,1106.6,1902,0.0129,1.1462,WT,1,1
1998,Spectrogram 1,1,20230522_000000.WAV,8880,8883,0,15000,t-11105570,Woodhouse's Toad,0.2664,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV88808883BD-29267A,Ann,Ethan,115,t-11105570_115_9sec.wav,1106.6,1867.4,3.6171,1.9217,WT,1,2
2626,Spectrogram 1,1,20230522_000000.WAV,11244,11247,0,15000,t-11105570,Woodhouse's Toad,0.3154,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV1124411247BD-29267A,Rohit,Diana,116,t-11105570_116_9sec.wav,897,2206.1,1.9776,2.4198,WT,1,1
4782,Spectrogram 1,1,20230527_200000.WAV,13740,13743,0,15000,t-11105570,Woodhouse's Toad,0.3548,20230527_200000.BirdNET.selection.table.txt,BD-29267A,2,20230527_200000.WAV1374013743BD-29267A,Camille,Amy,117,t-11105570_117_9sec.wav,1084.2,1886.1,2.7003,2.3396,WT,1,1
2924,Spectrogram 1,1,20230523_200000.WAV,11868,11871,0,15000,t-11105570,Woodhouse's Toad,0.333,20230523_200000.BirdNET.selection.table.txt,BD-29267A,2,20230523_200000.WAV1186811871BD-29267A,Diana,Ethan,118,t-11105570_118_9sec.wav,957.265,2085.47,0.0132,1.9306,WT,1,1
2924,Spectrogram 1,1,20230523_200000.WAV,11868,11871,0,15000,t-11105570,Woodhouse's Toad,0.333,20230523_200000.BirdNET.selection.table.txt,BD-29267A,2,20230523_200000.WAV1186811871BD-29267A,Diana,Ethan,118,t-11105570_118_9sec.wav,1094.017,2188.034,3.375,1.5464,WT,1,2
2924,Spectrogram 1,1,20230523_200000.WAV,11868,11871,0,15000,t-11105570,Woodhouse's Toad,0.333,20230523_200000.BirdNET.selection.table.txt,BD-29267A,2,20230523_200000.WAV1186811871BD-29267A,Diana,Ethan,118,t-11105570_118_9sec.wav,854.701,1846.154,7.8337,1.1622,WT,1,3
1304,Spectrogram 1,1,20230522_200000.WAV,4236,4239,0,15000,t-11105570,Woodhouse's Toad,0.3689,20230522_200000.BirdNET.selection.table.txt,BD-29267A,2,20230522_200000.WAV42364239BD-29267A,Ethan,Diana,119,t-11105570_119_9sec.wav,1153.318,1839.817,2.1091,2.6059,WT,1,1
2782,Spectrogram 1,1,20230522_000000.WAV,11745,11748,0,15000,t-11105570,Woodhouse's Toad,0.1863,20230522_000000.BirdNET.selection.table.txt,BD-29267A,1,20230522_000000.WAV1174511748BD-29267A,Ethan,Amy,11,t-11105570_11_9sec.wav,966.1,1764.3,4.4222,2.7719,WT,1,1
985,Spectrogram 1,1,20230521_200000.WAV,3999,4002,0,15000,t-11105570,Woodhouse's Toad,0.2104,20230521_200000.BirdNET.selection.table.txt,BD-29267A,2,20230521_200000.WAV39994002BD-29267A,Amy,Diana,120,t-11105570_120_9sec.wav,1187.9,1866.8,5.2693,1.8956,WT,1,1
1895,Spectrogram 1,1,20230522_000000.WAV,8676,8679,0,15000,t-11105570,Woodhouse's Toad,0.2336,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV86768679BD-29267A,Rohit,Camille,122,t-11105570_122_9sec.wav,993.9,1963.6,0.7303,1.9983,WT,1,1
1895,Spectrogram 1,1,20230522_000000.WAV,8676,8679,0,15000,t-11105570,Woodhouse's Toad,0.2336,20230522_000000.BirdNET.selection.table.txt,BD-29267A,2,20230522_000000.WAV86768679BD-29267A,Rohit,Camille,122,t-11105570_122_9sec.wav,872.7,2230.3,5.4761,2.4666,WT,1,2
118,Spectrogram 1,1,20230521_000000.WAV,696,699,0,15000,t-11105570,Woodhouse's Toad,0.2039,20230521_000000.BirdNET.selection.table.txt,BD-29267A,2,20230521_000000.WAV696699BD-29267A,Camille,Diana,123,t-11105570_123_9sec.wav,1147.3,1922.5,4.7652,2.6975,WT,1,2
3051,Spectrogram 1,1,20230526_200000.WAV,9789,9792,0,15000,t-11105570,Woodhouse's Toad,0.344,20230526_200000.BirdNET.selection.table.txt,BD-29267A,2,20230526_200000.WAV97899792BD-29267A,Diana,Ethan,124,t-11105570_124_9sec.wav,888.889,1880.342,3.6166,2.2284,WT,1,1
1918,Spectrogram 1,1,20230526_200000.WAV,6456,6459,0,15000,t-11105570,Woodhouse's Toad,0.389,20230526_200000.BirdNET.selection.table.txt,BD-29267A,2,20230526_200000.WAV64566459BD-29267A,Ethan,Camille,125,t-11105570_125_9sec.wav,1099.9,1702.3,0.0361,1.2661,WT,1,1
1918,Spectrogram 1,1,20230526_200000.WAV,6456,6459,0,15000,t-11105570,Woodhouse's Toad,0.389,20230526_200000.BirdNET.selection.table.txt,BD-29267A,2,20230526_200000.WAV64566459BD-29267A,Ethan,Camille,125,t-11105570_125_9sec.wav,995.2,1846.3,3.9997,2.5403,WT,1,2
